question_id,answer_id,difficulty_level,knowledge_level,overall_difficulty,category,sub_category,question_text,answer_display,answer_normalized,answer_chars,question_style
spo_000002_beg_com,ans_spo_olympics,beginner,common,初級,Sports,international_events,This international sports event is held every four years and includes athletes from many countries competing for medals. What event is it?,Olympics,olympics,"[""o"",""l"",""y"",""m"",""p"",""i"",""c"",""s""]",direct_hint
spo_000003_beg_com,ans_spo_badminton,beginner,common,初級,Sports,racket_sports,"This indoor sport is played with rackets and a shuttlecock, and players try to hit it over a net. What sport is it?",Badminton,badminton,"[""b"",""a"",""d"",""m"",""i"",""n"",""t"",""o"",""n""]",direct_hint
ent_000001_beg_com,ans_ent_frozen,beginner,common,初級,Entertainment,movies,"This Disney animated movie features Elsa, Anna, Olaf, a kingdom covered in snow, and the famous song Let It Go. What movie is it?",Frozen,frozen,"[""f"",""r"",""o"",""z"",""e"",""n""]",direct_hint
ent_000002_beg_com,ans_ent_iron_man,beginner,common,初級,Entertainment,superheroes,This Marvel superhero wears a red and gold suit of armor and is also known as the billionaire inventor Tony Stark. What superhero is he?,Iron Man,ironman,"[""i"",""r"",""o"",""n"",""m"",""a"",""n""]",direct_hint
ent_000003_beg_com,ans_ent_pokemon,beginner,common,初級,Entertainment,franchise,"This Japanese franchise includes Pikachu, Charizard, video games, anime, trading cards, and the phrase Gotta catch them all. What is it?",Pokemon,pokemon,"[""p"",""o"",""k"",""e"",""m"",""o"",""n""]",direct_hint
food_000001_beg_com,ans_food_sushi,beginner,common,初級,Food / Culture,japanese_food,"This Japanese dish is made with vinegared rice and often includes raw fish, seaweed, vegetables, or egg. What dish is it?",Sushi,sushi,"[""s"",""u"",""s"",""h"",""i""]",direct_hint
food_000002_beg_com,ans_food_pizza,beginner,common,初級,Food / Culture,italian_food,"This Italian food is usually round, baked with tomato sauce and cheese, and often cut into triangular slices. What food is it?",Pizza,pizza,"[""p"",""i"",""z"",""z"",""a""]",direct_hint
food_000003_beg_com,ans_food_taco,beginner,common,初級,Food / Culture,mexican_food,"This Mexican dish uses a folded tortilla filled with ingredients such as meat, beans, cheese, salsa, or vegetables. What dish is it?",Taco,taco,"[""t"",""a"",""c"",""o""]",direct_hint
tech_000001_beg_com,ans_tech_apple,beginner,common,初級,Technology,companies,"This technology company created the iPhone, iPad, Mac, and Apple Watch, and its logo looks like a bitten fruit. What company is it?",Apple,apple,"[""a"",""p"",""p"",""l"",""e""]",direct_hint
tech_000002_beg_com,ans_tech_internet,beginner,common,初級,Technology,networks,"This global network lets people use websites, send messages, stream videos, play online games, and share information. What is it called?",Internet,internet,"[""i"",""n"",""t"",""e"",""r"",""n"",""e"",""t""]",direct_hint
tech_000003_beg_com,ans_tech_ai,beginner,common,初級,Technology,computer_science,"This technology allows machines to perform tasks such as learning, recognizing images, understanding language, and making predictions. What is it?",AI,ai,"[""a"",""i""]",direct_hint
lang_000001_beg_com,ans_lang_english,beginner,common,初級,Language,world_languages,"This language is widely spoken in countries such as the United States, the United Kingdom, Canada, Australia, and New Zealand. What language is it?",English,english,"[""e"",""n"",""g"",""l"",""i"",""s"",""h""]",direct_hint
lang_000002_beg_com,ans_lang_noun,beginner,common,初級,Language,grammar,"This part of speech names a person, place, thing, or idea, such as teacher, city, river, music, or happiness. What is it?",Noun,noun,"[""n"",""o"",""u"",""n""]",direct_hint
lang_000003_beg_com,ans_lang_kanji,beginner,common,初級,Language,japanese_writing,This Japanese writing system uses characters originally adapted from Chinese and is used with hiragana and katakana. What is it called?,Kanji,kanji,"[""k"",""a"",""n"",""j"",""i""]",direct_hint
art_000001_beg_com,ans_art_shakespeare,beginner,common,初級,Literature / Art,literature,"This English writer wrote Hamlet, Macbeth, Romeo and Juliet, and many famous plays during the Elizabethan era. Who was he?",Shakespeare,shakespeare,"[""s"",""h"",""a"",""k"",""e"",""s"",""p"",""e"",""a"",""r"",""e""]",direct_hint
art_000002_beg_com,ans_art_mona_lisa,beginner,common,初級,Literature / Art,painting,This famous painting by Leonardo da Vinci shows a woman with a mysterious smile and is displayed in the Louvre Museum. What painting is it?,Mona Lisa,monalisa,"[""m"",""o"",""n"",""a"",""l"",""i"",""s"",""a""]",direct_hint
art_000003_beg_com,ans_art_van_gogh,beginner,common,初級,Literature / Art,painting,"This Dutch painter is famous for The Starry Night, sunflowers, vivid colors, and expressive brushstrokes. Who was he?",Van Gogh,vangogh,"[""v"",""a"",""n"",""g"",""o"",""g"",""h""]",direct_hint
gen_000001_beg_com,ans_gen_pacific,beginner,common,初級,General Knowledge,oceans,"This is the largest ocean on Earth and lies between Asia, Australia, and the Americas. What ocean is it?",Pacific,pacific,"[""p"",""a"",""c"",""i"",""f"",""i"",""c""]",direct_hint
gen_000002_beg_com,ans_gen_purple,beginner,common,初級,General Knowledge,colors,"This color is made by mixing red and blue paint and is often associated with royalty, mystery, and creativity. What color is it?",Purple,purple,"[""p"",""u"",""r"",""p"",""l"",""e""]",direct_hint
gen_000003_beg_com,ans_gen_366,beginner,common,初級,General Knowledge,calendar,"This is the number of days in a leap year, when February has 29 days instead of 28. What number is it?",366,366,"[""3"",""6"",""6""]",direct_hint
geo_000031_beg_std,ans_geo_iceland,beginner,standard,初級,Geography,europe,"This island country in the North Atlantic is known for volcanoes, glaciers, hot springs, the Blue Lagoon, and its capital city Reykjavik. What country is it?",Iceland,iceland,"[""i"",""c"",""e"",""l"",""a"",""n"",""d""]",direct_hint
geo_000032_beg_std,ans_geo_amazon,beginner,standard,初級,Geography,rivers,This major South American river flows through the rainforest and is often discussed as one of the largest rivers in the world by volume. What river is it?,Amazon,amazon,"[""a"",""m"",""a"",""z"",""o"",""n""]",direct_hint
geo_000033_beg_std,ans_geo_alps,beginner,standard,初級,Geography,mountains,"This European mountain range stretches across countries such as Switzerland, France, Italy, and Austria, and is famous for skiing and high peaks. What mountain range is it?",Alps,alps,"[""a"",""l"",""p"",""s""]",direct_hint
his_000031_beg_std,ans_his_cleopatra,beginner,standard,初級,History,ancient_history,"This queen ruled ancient Egypt, was connected with Julius Caesar and Mark Antony, and is one of the most famous female rulers in history. Who was she?",Cleopatra,cleopatra,"[""c"",""l"",""e"",""o"",""p"",""a"",""t"",""r"",""a""]",direct_hint
his_000032_beg_std,ans_his_cold_war,beginner,standard,初級,History,modern_history,"This long period of tension after World War 2 involved the United States, the Soviet Union, nuclear weapons, espionage, and ideological rivalry. What was it called?",Cold War,coldwar,"[""c"",""o"",""l"",""d"",""w"",""a"",""r""]",direct_hint
his_000033_beg_std,ans_his_renaissance,beginner,standard,初級,History,europe,"This cultural movement began in Europe and is associated with renewed interest in art, science, classical learning, Leonardo da Vinci, and Michelangelo. What was it called?",Renaissance,renaissance,"[""r"",""e"",""n"",""a"",""i"",""s"",""s"",""a"",""n"",""c"",""e""]",direct_hint
sci_000031_beg_std,ans_sci_jupiter,beginner,standard,初級,Science,space,This is the largest planet in the solar system and is known for its Great Red Spot and many moons. What planet is it?,Jupiter,jupiter,"[""j"",""u"",""p"",""i"",""t"",""e"",""r""]",direct_hint
sci_000032_beg_std,ans_sci_photosynthesis,beginner,standard,初級,Science,biology,"This process allows plants to use sunlight, carbon dioxide, and water to make sugar and release oxygen. What process is it?",Photosynthesis,photosynthesis,"[""p"",""h"",""o"",""t"",""o"",""s"",""y"",""n"",""t"",""h"",""e"",""s"",""i"",""s""]",direct_hint
sci_000033_beg_std,ans_sci_electron,beginner,standard,初級,Science,physics,This tiny negatively charged particle moves around atomic nuclei and plays an important role in electricity and chemical bonds. What particle is it?,Electron,electron,"[""e"",""l"",""e"",""c"",""t"",""r"",""o"",""n""]",direct_hint
spo_000031_beg_std,ans_spo_wimbledon,beginner,standard,初級,Sports,tennis,"This famous tennis tournament is held in London, played on grass courts, and is known for traditions such as white clothing and strawberries. What tournament is it?",Wimbledon,wimbledon,"[""w"",""i"",""m"",""b"",""l"",""e"",""d"",""o"",""n""]",direct_hint
spo_000032_beg_std,ans_spo_formula1,beginner,standard,初級,Sports,motorsport,"This international motorsport competition features high-speed racing cars, famous teams, Grand Prix events, and drivers competing for a world championship. What is it called?",Formula 1,formula1,"[""f"",""o"",""r"",""m"",""u"",""l"",""a"",""1""]",direct_hint
spo_000033_beg_std,ans_spo_rugby,beginner,standard,初級,Sports,ball_sports,"This team sport uses an oval ball, includes tackling and passing backward, and is especially popular in countries such as New Zealand, England, and South Africa. What sport is it?",Rugby,rugby,"[""r"",""u"",""g"",""b"",""y""]",direct_hint
ent_000031_beg_std,ans_ent_star_wars,beginner,standard,初級,Entertainment,movies,"This science fiction franchise features Jedi, Sith, lightsabers, the Force, Darth Vader, and a galaxy far, far away. What franchise is it?",Star Wars,starwars,"[""s"",""t"",""a"",""r"",""w"",""a"",""r"",""s""]",direct_hint
ent_000032_beg_std,ans_ent_harry_potter,beginner,standard,初級,Entertainment,franchise,This fantasy series follows a young wizard who attends Hogwarts and faces Lord Voldemort with his friends Hermione and Ron. What series is it?,Harry Potter,harrypotter,"[""h"",""a"",""r"",""r"",""y"",""p"",""o"",""t"",""t"",""e"",""r""]",direct_hint
ent_000033_beg_std,ans_ent_minecraft,beginner,standard,初級,Entertainment,games,"This sandbox video game lets players mine blocks, craft tools, build structures, and survive against monsters such as creepers. What game is it?",Minecraft,minecraft,"[""m"",""i"",""n"",""e"",""c"",""r"",""a"",""f"",""t""]",direct_hint
food_000031_beg_std,ans_food_paella,beginner,standard,初級,Food / Culture,spanish_food,"This Spanish rice dish is often cooked in a wide pan and may include saffron, seafood, chicken, vegetables, or beans. What dish is it?",Paella,paella,"[""p"",""a"",""e"",""l"",""l"",""a""]",direct_hint
food_000032_beg_std,ans_food_croissant,beginner,standard,初級,Food / Culture,french_food,This crescent-shaped French pastry is made with layered buttery dough and is often eaten for breakfast. What pastry is it?,Croissant,croissant,"[""c"",""r"",""o"",""i"",""s"",""s"",""a"",""n"",""t""]",direct_hint
food_000033_beg_std,ans_food_kimchi,beginner,standard,初級,Food / Culture,korean_food,"This Korean food is made from fermented vegetables, often cabbage or radish, seasoned with chili, garlic, and other spices. What food is it?",Kimchi,kimchi,"[""k"",""i"",""m"",""c"",""h"",""i""]",direct_hint
tech_000031_beg_std,ans_tech_google,beginner,standard,初級,Technology,companies,"This technology company is known for its search engine, Gmail, Android, YouTube ownership, and parent company Alphabet. What company is it?",Google,google,"[""g"",""o"",""o"",""g"",""l"",""e""]",direct_hint
tech_000032_beg_std,ans_tech_blockchain,beginner,standard,初級,Technology,computer_science,This technology stores records in linked blocks and is best known for its use in cryptocurrencies such as Bitcoin. What technology is it?,Blockchain,blockchain,"[""b"",""l"",""o"",""c"",""k"",""c"",""h"",""a"",""i"",""n""]",direct_hint
tech_000033_beg_std,ans_tech_cloud,beginner,standard,初級,Technology,computing,This computing model lets users store data and run services on remote servers instead of only on their own local devices. What is it commonly called?,Cloud,cloud,"[""c"",""l"",""o"",""u"",""d""]",direct_hint
lang_000031_beg_std,ans_lang_spanish,beginner,standard,初級,Language,world_languages,"This Romance language is spoken in Spain and many countries in Latin America, and is one of the most widely spoken languages in the world. What language is it?",Spanish,spanish,"[""s"",""p"",""a"",""n"",""i"",""s"",""h""]",direct_hint
lang_000032_beg_std,ans_lang_adjective,beginner,standard,初級,Language,grammar,"This part of speech describes a noun, as in words like blue, large, fast, beautiful, or difficult. What is it called?",Adjective,adjective,"[""a"",""d"",""j"",""e"",""c"",""t"",""i"",""v"",""e""]",direct_hint
lang_000033_beg_std,ans_lang_alphabet,beginner,standard,初級,Language,writing_systems,"This writing system is a set of letters used to represent sounds, such as the A to Z system used in English. What is it called?",Alphabet,alphabet,"[""a"",""l"",""p"",""h"",""a"",""b"",""e"",""t""]",direct_hint
art_000031_beg_std,ans_art_picasso,beginner,standard,初級,Literature / Art,painting,This Spanish artist co-founded Cubism and is known for works such as Guernica and many portraits with fragmented forms. Who was he?,Picasso,picasso,"[""p"",""i"",""c"",""a"",""s"",""s"",""o""]",direct_hint
art_000032_beg_std,ans_art_don_quixote,beginner,standard,初級,Literature / Art,literature,This Spanish novel by Miguel de Cervantes follows a man who imagines himself as a knight and travels with Sancho Panza. What novel is it?,Don Quixote,donquixote,"[""d"",""o"",""n"",""q"",""u"",""i"",""x"",""o"",""t"",""e""]",direct_hint
art_000033_beg_std,ans_art_the_scream,beginner,standard,初級,Literature / Art,painting,This famous painting by Edvard Munch shows a figure with an open mouth standing under a dramatic sky. What painting is it?,The Scream,thescream,"[""t"",""h"",""e"",""s"",""c"",""r"",""e"",""a"",""m""]",direct_hint
gen_000031_beg_std,ans_gen_antarctica,beginner,standard,初級,General Knowledge,continents,This cold continent surrounds the South Pole and is covered by a huge ice sheet. What continent is it?,Antarctica,antarctica,"[""a"",""n"",""t"",""a"",""r"",""c"",""t"",""i"",""c"",""a""]",direct_hint
gen_000032_beg_std,ans_gen_mercury,beginner,standard,初級,General Knowledge,elements,This metal element is liquid at room temperature and was once commonly used in thermometers. What element is it?,Mercury,mercury,"[""m"",""e"",""r"",""c"",""u"",""r"",""y""]",direct_hint
gen_000033_beg_std,ans_gen_compass,beginner,standard,初級,General Knowledge,tools,This tool uses a magnetized needle to show direction and is often used for navigation. What tool is it?,Compass,compass,"[""c"",""o"",""m"",""p"",""a"",""s"",""s""]",direct_hint
geo_000061_int_com,ans_geo_japan,intermediate,common,初級,Geography,east_asia,"This island country developed a distinctive culture shaped by Shinto shrines, Buddhist temples, samurai history, seasonal festivals, and a writing system that combines kanji with two phonetic scripts. It is also famous for high-speed trains, anime, sushi, cherry blossoms, Kyoto, and Mount Fuji. Its capital is Tokyo. What country is it?",Japan,japan,"[""j"",""a"",""p"",""a"",""n""]",progressive_hint
geo_000062_int_com,ans_geo_nile,intermediate,common,初級,Geography,rivers,"For thousands of years, this river supported agriculture through seasonal flooding and allowed settlements to grow in an otherwise dry region. Temples, tombs, and ancient cities were built along its banks, and it became central to one of the world’s earliest civilizations. It flows through Egypt and is closely associated with pyramids and pharaohs. What river is it?",Nile,nile,"[""n"",""i"",""l"",""e""]",progressive_hint
geo_000063_int_com,ans_geo_sahara,intermediate,common,初級,Geography,deserts,"This region contains not only sand dunes but also rocky plateaus, gravel plains, mountains, and oases. It influenced ancient trade routes, nomadic cultures, and the movement of goods across North Africa. It stretches across many countries and is known for extreme heat and vast dry landscapes. What is the largest hot desert in the world?",Sahara,sahara,"[""s"",""a"",""h"",""a"",""r"",""a""]",progressive_hint
his_000061_int_com,ans_his_egypt,intermediate,common,初級,History,ancient_civilization,"This ancient civilization developed complex systems of writing, religion, architecture, and government along a major river valley. Its rulers were often seen as divine, and its burial customs reflected strong beliefs about the afterlife. It is famous for hieroglyphs, mummies, pyramids, sphinxes, and pharaohs. What civilization was it?",Egypt,egypt,"[""e"",""g"",""y"",""p"",""t""]",progressive_hint
his_000062_int_com,ans_his_world_war_2,intermediate,common,初級,History,modern_history,"This conflict involved industrial-scale warfare, aerial bombing, genocide, and the use of nuclear weapons near its end. It reshaped global politics and led to the creation of the United Nations. Major participants included Germany, Japan, the Soviet Union, Britain, and the United States. It lasted from 1939 to 1945. What war was it?",World War 2,worldwar2,"[""w"",""o"",""r"",""l"",""d"",""w"",""a"",""r"",""2""]",progressive_hint
his_000063_int_com,ans_his_napoleon,intermediate,common,初級,History,europe,"He rose during the instability after the French Revolution and became known for military campaigns, legal reforms, and a civil code that influenced many countries. His empire challenged European monarchies, but he was eventually exiled and then defeated after a brief return to power. His final defeat came at Waterloo. Who was he?",Napoleon,napoleon,"[""n"",""a"",""p"",""o"",""l"",""e"",""o"",""n""]",progressive_hint
sci_000061_int_com,ans_sci_mars,intermediate,common,初級,Science,space,"This planet has the tallest volcano in the solar system and a canyon system far larger than the Grand Canyon. Rovers have explored its surface to study rocks, ice, and signs of ancient water. It has two small moons called Phobos and Deimos and appears reddish because of iron oxide. What planet is it?",Mars,mars,"[""m"",""a"",""r"",""s""]",progressive_hint
sci_000062_int_com,ans_sci_gravity,intermediate,common,初級,Science,physics,"In classical physics, this interaction is described as an attraction between masses, while Einstein described it as the curvature of spacetime caused by mass and energy. It governs planetary orbits, tides, falling objects, and the motion of stars and galaxies. On Earth, it makes dropped objects fall downward. What is it?",Gravity,gravity,"[""g"",""r"",""a"",""v"",""i"",""t"",""y""]",progressive_hint
sci_000063_int_com,ans_sci_dna,intermediate,common,初級,Science,biology,"This molecule is made of nucleotides containing bases commonly abbreviated as A, T, G, and C. Its double helix structure helps explain how biological information is copied and passed from one generation to the next. It plays a central role in heredity, development, and evolution. What molecule is it?",DNA,dna,"[""d"",""n"",""a""]",progressive_hint
spo_000061_int_com,ans_spo_soccer,intermediate,common,初級,Sports,ball_sports,"Its modern rules were standardized in nineteenth-century Britain, and tactical systems such as formations, pressing, and counterattacks are central to professional play. It is governed internationally by FIFA, and its biggest tournament attracts huge global audiences. Two teams of eleven players try to kick a ball into the opponent’s goal. What sport is it?",Soccer,soccer,"[""s"",""o"",""c"",""c"",""e"",""r""]",progressive_hint
spo_000062_int_com,ans_spo_olympics,intermediate,common,初級,Sports,international_events,"The modern version of this event was strongly influenced by Pierre de Coubertin and includes ceremonies, medals, national teams, and a torch relay. It has separate summer and winter editions and brings together athletes from around the world every four years. What international sporting event is this?",Olympics,olympics,"[""o"",""l"",""y"",""m"",""p"",""i"",""c"",""s""]",progressive_hint
spo_000063_int_com,ans_spo_badminton,intermediate,common,初級,Sports,racket_sports,"This racket sport developed from earlier shuttlecock games and is especially popular in countries such as Indonesia, China, Japan, Malaysia, and Denmark. The object being hit slows quickly because of its feathered or synthetic shape. Matches can be singles or doubles, with smashes and quick footwork. What sport is it?",Badminton,badminton,"[""b"",""a"",""d"",""m"",""i"",""n"",""t"",""o"",""n""]",progressive_hint
ent_000061_int_com,ans_ent_frozen,intermediate,common,初級,Entertainment,movies,"This animated film was loosely inspired by Hans Christian Andersen’s The Snow Queen but became a story about sisters, fear, isolation, and love. Its soundtrack became a global phenomenon, especially a song associated with letting go of fear. It features a snowman named Olaf and sisters named Elsa and Anna. What movie is it?",Frozen,frozen,"[""f"",""r"",""o"",""z"",""e"",""n""]",progressive_hint
ent_000062_int_com,ans_ent_iron_man,intermediate,common,初級,Entertainment,superheroes,"This Marvel character began as a wealthy industrialist and inventor whose advanced technology became central to his identity as a hero. In the films, he is linked with arc reactors, artificial intelligence, and a red-and-gold armored suit. His civilian name is Tony Stark. Which superhero is he?",Iron Man,ironman,"[""i"",""r"",""o"",""n"",""m"",""a"",""n""]",progressive_hint
ent_000063_int_com,ans_ent_pokemon,intermediate,common,初級,Entertainment,franchise,"This franchise began as video games and expanded into anime, trading cards, films, toys, and competitive tournaments. Its core idea involves collecting, training, and battling creatures with different types and abilities. Famous characters include Pikachu, Charizard, Mewtwo, and Bulbasaur. What franchise is it?",Pokemon,pokemon,"[""p"",""o"",""k"",""e"",""m"",""o"",""n""]",progressive_hint
food_000061_int_com,ans_food_sushi,intermediate,common,初級,Food / Culture,japanese_food,"Although many people associate it mainly with raw fish, this dish is fundamentally centered on seasoned rice prepared with vinegar, sugar, and salt. It has forms such as nigiri, maki, and chirashi, and developed from older preservation methods involving fish and rice. What Japanese dish is it?",Sushi,sushi,"[""s"",""u"",""s"",""h"",""i""]",progressive_hint
food_000062_int_com,ans_food_pizza,intermediate,common,初級,Food / Culture,italian_food,"This food has roots in Italian culinary traditions, especially Naples, but became globally popular after adapting to local tastes. Its base is usually flat round dough topped with tomato sauce, cheese, and ingredients such as basil, pepperoni, mushrooms, or seafood. It is often baked and sliced. What food is it?",Pizza,pizza,"[""p"",""i"",""z"",""z"",""a""]",progressive_hint
food_000063_int_com,ans_food_taco,intermediate,common,初級,Food / Culture,mexican_food,"This dish can vary widely by region and filling, but it often uses a small folded tortilla made from corn or wheat. It may contain meat, fish, beans, vegetables, salsa, cheese, or herbs. It can be street food, home cooking, or restaurant fare and is strongly associated with Mexican cuisine. What is it?",Taco,taco,"[""t"",""a"",""c"",""o""]",progressive_hint
tech_000061_int_com,ans_tech_apple,intermediate,common,初級,Technology,companies,"This company became known for tightly integrating hardware, software, and design into consumer products. It played major roles in personal computers, digital music players, smartphones, tablets, and wearable devices. Its products include the Mac, iPod, iPhone, iPad, and Apple Watch. What company is it?",Apple,apple,"[""a"",""p"",""p"",""l"",""e""]",progressive_hint
tech_000062_int_com,ans_tech_internet,intermediate,common,初級,Technology,networks,"This global system grew out of earlier computer networking projects and transformed communication, business, education, entertainment, and media. It supports services such as email, websites, video streaming, online games, cloud apps, and social media. People access it through browsers, Wi-Fi, and mobile networks. What is it?",Internet,internet,"[""i"",""n"",""t"",""e"",""r"",""n"",""e"",""t""]",progressive_hint
tech_000063_int_com,ans_tech_ai,intermediate,common,初級,Technology,computer_science,"This field includes machine learning, neural networks, natural language processing, computer vision, robotics, and recommendation systems. It aims to create systems that perform tasks associated with human intelligence, such as recognizing patterns, understanding language, and making predictions. What is it commonly called?",AI,ai,"[""a"",""i""]",progressive_hint
lang_000061_int_com,ans_lang_english,intermediate,common,初級,Language,world_languages,"This language developed from Germanic roots but absorbed many words from Latin, French, Greek, and other languages. It spread through trade, colonization, science, media, and the internet. It is used in countries such as the United Kingdom, the United States, Canada, Australia, and New Zealand. What language is it?",English,english,"[""e"",""n"",""g"",""l"",""i"",""s"",""h""]",progressive_hint
lang_000062_int_com,ans_lang_noun,intermediate,common,初級,Language,grammar,"This part of speech can refer to concrete objects, living beings, places, abstract ideas, events, or concepts. It may be common or proper, singular or plural, and can function as the subject or object of a sentence. Words such as teacher, city, river, freedom, and music are examples. What is it?",Noun,noun,"[""n"",""o"",""u"",""n""]",progressive_hint
lang_000063_int_com,ans_lang_kanji,intermediate,common,初級,Language,japanese_writing,"This writing system is used in Japanese alongside hiragana and katakana, and many of its characters were historically adapted from Chinese writing. Each character can carry meaning and may have multiple readings depending on context. It is used for nouns, verb stems, names, and many important words. What is it?",Kanji,kanji,"[""k"",""a"",""n"",""j"",""i""]",progressive_hint
art_000061_int_com,ans_art_shakespeare,intermediate,common,初級,Literature / Art,literature,"This writer worked in early modern England and contributed greatly to drama, poetry, tragedy, comedy, and historical plays. Many phrases from his works remain famous today. His plays include Hamlet, Macbeth, Othello, King Lear, A Midsummer Night’s Dream, and Romeo and Juliet. Who was he?",Shakespeare,shakespeare,"[""s"",""h"",""a"",""k"",""e"",""s"",""p"",""e"",""a"",""r"",""e""]",progressive_hint
art_000062_int_com,ans_art_mona_lisa,intermediate,common,初級,Literature / Art,painting,"This portrait has been studied for its composition, atmospheric technique, subtle expression, and mysterious smile. It was painted during the Italian Renaissance and is now housed in the Louvre Museum in Paris, where it attracts enormous crowds. The artist was Leonardo da Vinci. What painting is it?",Mona Lisa,monalisa,"[""m"",""o"",""n"",""a"",""l"",""i"",""s"",""a""]",progressive_hint
art_000063_int_com,ans_art_van_gogh,intermediate,common,初級,Literature / Art,painting,"This Dutch painter produced many works during a short and difficult life, often using vivid colors, expressive brushstrokes, and emotional intensity. He painted landscapes, portraits, sunflowers, cafés, and night skies. One iconic work shows a swirling night sky above a village. Who was he?",Van Gogh,vangogh,"[""v"",""a"",""n"",""g"",""o"",""g"",""h""]",progressive_hint
gen_000061_int_com,ans_gen_pacific,intermediate,common,初級,General Knowledge,oceans,"This ocean contains many island nations, deep trenches, volcanic arcs, and major shipping routes. It touches the western coasts of the Americas and the eastern coasts of Asia and Australia. The Mariana Trench is located within it, and it is the largest ocean on Earth. What ocean is it?",Pacific,pacific,"[""p"",""a"",""c"",""i"",""f"",""i"",""c""]",progressive_hint
gen_000062_int_com,ans_gen_purple,intermediate,common,初級,General Knowledge,colors,"In color theory, this color can be associated with royalty, mystery, spirituality, and creativity. Different shades may appear closer to violet, lavender, or plum. In basic paint mixing, it is commonly produced by combining red and blue. What color is it?",Purple,purple,"[""p"",""u"",""r"",""p"",""l"",""e""]",progressive_hint
gen_000063_int_com,ans_gen_366,intermediate,common,初級,General Knowledge,calendar,"This number appears in the calendar system used to keep the year aligned with Earth’s orbit around the Sun. In most years, February has 28 days, but in a leap year an extra day is added, making February 29 exist. What is the total number of days in a leap year?",366,366,"[""3"",""6"",""6""]",progressive_hint
